card_id	card_name	owner	zone	is_exerted	damage	turns_in_play	owner_lore	owner_ink	owner_ink_total	owner_hand_size	owner_board_size	opp_lore	opp_ink	opp_ink_total	opp_hand_size	opp_board_size	turn	current_player	is_owners_turn	lore_diff	action	path	diff	score
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	hand	0	0	-1	0	0	0	8	0	0	1	1	6	0	1	p2	1	0	end	3/0	add node p2.genie_satisfied_dragon.c card_id=1853 damage=0 exerted=0 label=genie_satisfied_dragon type=Card zone=hand; set node game turn=1; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=8 action_type=CAN_PASS description=end; add edge p2.aladdin_cornered_swordsman.b -> p2 CAN_INK action_id=0 action_type=CAN_INK description=ink:p2.aladdin_cornered_swordsman.b; add edge p2.arges_the_cyclops.b -> p2 CAN_INK action_id=1 action_type=CAN_INK description=ink:p2.arges_the_cyclops.b; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=2 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.genie_satisfied_dragon.c -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.genie_satisfied_dragon.c; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.prince_naveen_penniless_royal.d -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.d; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=7 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	hand	0	0	-1	0	1	1	7	0	0	1	1	6	0	1	p2	1	0	ink:p2.prince_naveen_penniless_royal.d	3/0/6	set node p2 ink_available=1 ink_drops=0 ink_total=1; set node p2.prince_naveen_penniless_royal.d zone=ink; remove edge p2.aladdin_cornered_swordsman.b -> p2 CAN_INK; remove edge p2.arges_the_cyclops.b -> p2 CAN_INK; remove edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK; remove edge p2.genie_satisfied_dragon.c -> p2 CAN_INK; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.d -> p2 CAN_INK; remove edge p2.stitch_carefree_surfer.c -> p2 CAN_INK; set edge p2 -> game CAN_PASS action_id=0	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	hand	0	0	-1	0	1	1	8	0	0	0	2	5	1	3	p2	1	0	end	3/0/6/0/3/2/0	add node p2.simba_protective_cub.c card_id=20 damage=0 exerted=0 label=simba_protective_cub type=Card zone=hand; set node game turn=3; set node p2 ink_drops=1; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=8 action_type=CAN_PASS description=end; add edge p2.aladdin_cornered_swordsman.b -> p2 CAN_INK action_id=0 action_type=CAN_INK description=ink:p2.aladdin_cornered_swordsman.b; add edge p2.arges_the_cyclops.b -> p2 CAN_INK action_id=1 action_type=CAN_INK description=ink:p2.arges_the_cyclops.b; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=2 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.genie_satisfied_dragon.c -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.genie_satisfied_dragon.c; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.simba_protective_cub.c -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.simba_protective_cub.c; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=7 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	hand	0	0	-1	0	2	2	7	0	0	0	2	5	1	3	p2	1	0	ink:p2.arges_the_cyclops.b	3/0/6/0/3/2/0/1	set node p2 ink_available=2 ink_drops=0 ink_total=2; set node p2.arges_the_cyclops.b zone=ink; add edge p2.aladdin_cornered_swordsman.b -> p2 CAN_PLAY action_id=1 action_type=CAN_PLAY description=play:p2.aladdin_cornered_swordsman.b; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p2.prince_eric_dashing_and_brave.a; add edge p2.simba_protective_cub.c -> p2 CAN_PLAY action_id=3 action_type=CAN_PLAY description=play:p2.simba_protective_cub.c; remove edge p2.aladdin_cornered_swordsman.b -> p2 CAN_INK; remove edge p2.arges_the_cyclops.b -> p2 CAN_INK; remove edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK; remove edge p2.genie_satisfied_dragon.c -> p2 CAN_INK; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK; remove edge p2.simba_protective_cub.c -> p2 CAN_INK; remove edge p2.stitch_carefree_surfer.c -> p2 CAN_INK; set edge p2 -> game CAN_PASS action_id=0	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	play	0	0	0	0	0	2	6	1	0	0	2	5	1	3	p2	1	0	play:p2.aladdin_cornered_swordsman.b	3/0/6/0/3/2/0/1/1	set node p2 ink_available=0; set node p2.aladdin_cornered_swordsman.b entered_play=3 zone=play; remove edge p2.aladdin_cornered_swordsman.b -> p2 CAN_PLAY; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY; remove edge p2.simba_protective_cub.c -> p2 CAN_PLAY	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	play	0	0	2	0	2	2	7	1	3	1	3	4	2	5	p2	1	-3	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0	add node p2.prince_eric_dashing_and_brave.d card_id=187 damage=0 exerted=0 label=prince_eric_dashing_and_brave type=Card zone=hand; set node game turn=5; set node p2 ink_available=2 ink_drops=1; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=8 action_type=CAN_PASS description=end; add edge p2.aladdin_cornered_swordsman.b -> p1.pinocchio_star_attraction.a CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p2.aladdin_cornered_swordsman.b->p1.pinocchio_star_attraction.a; add edge p2.aladdin_cornered_swordsman.b -> p2 CAN_QUEST action_id=c action_type=CAN_QUEST description=quest:p2.aladdin_cornered_swordsman.b; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=1 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.genie_satisfied_dragon.c -> p2 CAN_INK action_id=2 action_type=CAN_INK description=ink:p2.genie_satisfied_dragon.c; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY action_id=9 action_type=CAN_PLAY description=play:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.d; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_PLAY action_id=a action_type=CAN_PLAY description=play:p2.prince_eric_dashing_and_brave.d; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.simba_protective_cub.c -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.simba_protective_cub.c; add edge p2.simba_protective_cub.c -> p2 CAN_PLAY action_id=b action_type=CAN_PLAY description=play:p2.simba_protective_cub.c; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=7 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	play	0	0	2	0	3	3	6	1	3	1	3	4	2	5	p2	1	-3	ink:p2.simba_protective_cub.c	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6	set node p2 ink_available=3 ink_drops=0 ink_total=3; set node p2.simba_protective_cub.c zone=ink; add edge p2.genie_satisfied_dragon.c -> p2 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p2.genie_satisfied_dragon.c; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=5 action_type=CAN_PLAY description=play:p2.prince_naveen_penniless_royal.b; remove edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK; remove edge p2.genie_satisfied_dragon.c -> p2 CAN_INK; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK; remove edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK; remove edge p2.simba_protective_cub.c -> p2 CAN_INK; remove edge p2.simba_protective_cub.c -> p2 CAN_PLAY; remove edge p2.stitch_carefree_surfer.c -> p2 CAN_INK; set edge p2 -> game CAN_PASS action_id=1; set edge p2.aladdin_cornered_swordsman.b -> p2 CAN_QUEST action_id=6; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY action_id=3; set edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_PLAY action_id=4	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	play	0	0	2	0	1	3	5	2	3	1	3	4	2	5	p2	1	-3	play:p2.prince_eric_dashing_and_brave.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4	set node p2 ink_available=1; set node p2.prince_eric_dashing_and_brave.d entered_play=5 zone=play; remove edge p2.genie_satisfied_dragon.c -> p2 CAN_PLAY; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY; remove edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_PLAY; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY; set edge p2.aladdin_cornered_swordsman.b -> p2 CAN_QUEST action_id=2	1.00
p2.aladdin_cornered_swordsman.b	aladdin_cornered_swordsman	p2	discard	1	1	2	0	1	3	5	1	3	1	3	4	1	5	p2	1	-3	challenge:p2.aladdin_cornered_swordsman.b->p1.pinocchio_star_attraction.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0	set node p1.pinocchio_star_attraction.a damage=2 zone=discard; set node p2.aladdin_cornered_swordsman.b damage=1 exerted=1 zone=discard; remove edge p2.aladdin_cornered_swordsman.b -> p1.pinocchio_star_attraction.a CAN_CHALLENGE; remove edge p2.aladdin_cornered_swordsman.b -> p2 CAN_QUEST; set edge p2 -> game CAN_PASS action_id=0	1.00
p2.aladdin_cornered_swordsman.d	aladdin_cornered_swordsman	p2	hand	0	0	-1	11	9	9	1	3	11	6	10	0	1	25	p2	1	0	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0	add node p2.aladdin_cornered_swordsman.d card_id=171 damage=0 exerted=0 label=aladdin_cornered_swordsman type=Card zone=hand; set node game turn=25; set node p2 ink_available=9; set node p2.chien_po_imperial_soldier.b exerted=0; set node p2.mr._arrow_legacy's_first_mate.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=1 action_type=CAN_PASS description=end; add edge p2.aladdin_cornered_swordsman.d -> p2 CAN_INK action_id=0 action_type=CAN_INK description=ink:p2.aladdin_cornered_swordsman.d; add edge p2.aladdin_cornered_swordsman.d -> p2 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p2.aladdin_cornered_swordsman.d; add edge p2.chien_po_imperial_soldier.b -> p2 CAN_QUEST action_id=3 action_type=CAN_QUEST description=quest:p2.chien_po_imperial_soldier.b; add edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST action_id=4 action_type=CAN_QUEST description=quest:p2.dumptruck_karnage's_second_mate.a; add edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=5 action_type=CAN_QUEST description=quest:p2.mr._arrow_legacy's_first_mate.d; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
