card_id	card_name	owner	zone	is_exerted	damage	turns_in_play	owner_lore	owner_ink	owner_ink_total	owner_hand_size	owner_board_size	opp_lore	opp_ink	opp_ink_total	opp_hand_size	opp_board_size	turn	current_player	is_owners_turn	lore_diff	action	path	diff	score
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	hand	0	0	-1	8	9	9	1	2	11	10	10	0	0	23	p2	1	-3	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0	add node p2.dumptruck_karnage's_second_mate.a card_id=1849 damage=0 exerted=0 label=dumptruck_karnage's_second_mate type=Card zone=hand; set node game turn=23; set node p2 ink_available=9; set node p2.chien_po_imperial_soldier.b exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=0 action_type=CAN_PASS description=end; add edge p2.chien_po_imperial_soldier.b -> p2 CAN_QUEST action_id=2 action_type=CAN_QUEST description=quest:p2.chien_po_imperial_soldier.b; add edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_PLAY action_id=1 action_type=CAN_PLAY description=play:p2.dumptruck_karnage's_second_mate.a; add edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=3 action_type=CAN_QUEST description=quest:p2.mr._arrow_legacy's_first_mate.d; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	0	0	0	11	8	9	0	3	11	10	10	0	0	23	p2	1	0	play:p2.dumptruck_karnage's_second_mate.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1	set node p2 ink_available=8; set node p2.dumptruck_karnage's_second_mate.a entered_play=23 zone=play; remove edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_PLAY	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	0	0	2	11	9	9	1	3	11	6	10	0	1	25	p2	1	0	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0	add node p2.aladdin_cornered_swordsman.d card_id=171 damage=0 exerted=0 label=aladdin_cornered_swordsman type=Card zone=hand; set node game turn=25; set node p2 ink_available=9; set node p2.chien_po_imperial_soldier.b exerted=0; set node p2.mr._arrow_legacy's_first_mate.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=1 action_type=CAN_PASS description=end; add edge p2.aladdin_cornered_swordsman.d -> p2 CAN_INK action_id=0 action_type=CAN_INK description=ink:p2.aladdin_cornered_swordsman.d; add edge p2.aladdin_cornered_swordsman.d -> p2 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p2.aladdin_cornered_swordsman.d; add edge p2.chien_po_imperial_soldier.b -> p2 CAN_QUEST action_id=3 action_type=CAN_QUEST description=quest:p2.chien_po_imperial_soldier.b; add edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST action_id=4 action_type=CAN_QUEST description=quest:p2.dumptruck_karnage's_second_mate.a; add edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=5 action_type=CAN_QUEST description=quest:p2.mr._arrow_legacy's_first_mate.d; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	0	0	2	12	9	9	1	3	11	6	10	0	1	25	p2	1	1	quest:p2.chien_po_imperial_soldier.b	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3	set node p2 lore=12; set node p2.chien_po_imperial_soldier.b exerted=1; remove edge p2.chien_po_imperial_soldier.b -> p2 CAN_QUEST; set edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST action_id=3; set edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=4	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	1	0	2	13	9	9	1	3	11	6	10	0	1	25	p2	1	2	quest:p2.dumptruck_karnage's_second_mate.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3	set node p2 lore=13; set node p2.dumptruck_karnage's_second_mate.a exerted=1; remove edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST; set edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=3	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	1	0	3	15	10	10	0	3	11	10	10	1	1	26	p1	0	4	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3/3/0/0	add node p1.luisa_madrigal_magically_strong_one.a card_id=738 damage=0 exerted=0 label=luisa_madrigal_magically_strong_one type=Card zone=hand; set node game turn=26; set node p1 ink_available=10; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=3 action_type=CAN_PASS description=end; add edge p1.luisa_madrigal_magically_strong_one.a -> p1 CAN_PLAY action_id=4 action_type=CAN_PLAY description=play:p1.luisa_madrigal_magically_strong_one.a; add edge p1.luisa_madrigal_magically_strong_one.d -> p1 CAN_QUEST action_id=5 action_type=CAN_QUEST description=quest:p1.luisa_madrigal_magically_strong_one.d; add edge p1.luisa_madrigal_magically_strong_one.d -> p2.chien_po_imperial_soldier.b CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.d->p2.chien_po_imperial_soldier.b; add edge p1.luisa_madrigal_magically_strong_one.d -> p2.dumptruck_karnage's_second_mate.a CAN_CHALLENGE action_id=1 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.d->p2.dumptruck_karnage's_second_mate.a; add edge p1.luisa_madrigal_magically_strong_one.d -> p2.mr._arrow_legacy's_first_mate.d CAN_CHALLENGE action_id=2 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.d->p2.mr._arrow_legacy's_first_mate.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	1	0	3	15	10	10	0	2	11	10	10	1	0	26	p1	0	4	challenge:p1.luisa_madrigal_magically_strong_one.d->p2.chien_po_imperial_soldier.b	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3/3/0/0/0	set node p1.luisa_madrigal_magically_strong_one.d damage=4 exerted=1 zone=discard; set node p2.chien_po_imperial_soldier.b damage=9 zone=discard; remove edge p1.luisa_madrigal_magically_strong_one.d -> p1 CAN_QUEST; remove edge p1.luisa_madrigal_magically_strong_one.d -> p2.chien_po_imperial_soldier.b CAN_CHALLENGE; remove edge p1.luisa_madrigal_magically_strong_one.d -> p2.dumptruck_karnage's_second_mate.a CAN_CHALLENGE; remove edge p1.luisa_madrigal_magically_strong_one.d -> p2.mr._arrow_legacy's_first_mate.d CAN_CHALLENGE; set edge p1 -> game CAN_PASS action_id=0; set edge p1.luisa_madrigal_magically_strong_one.a -> p1 CAN_PLAY action_id=1	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	0	0	4	15	10	10	1	2	11	6	10	0	1	27	p2	1	4	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3/3/0/0/0/1/0	add node p2.prince_eric_dashing_and_brave.c card_id=187 damage=0 exerted=0 label=prince_eric_dashing_and_brave type=Card zone=hand; set node game turn=27; set node p2 ink_drops=1; set node p2.dumptruck_karnage's_second_mate.a exerted=0; set node p2.mr._arrow_legacy's_first_mate.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=1 action_type=CAN_PASS description=end; add edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST action_id=3 action_type=CAN_QUEST description=quest:p2.dumptruck_karnage's_second_mate.a; add edge p2.mr._arrow_legacy's_first_mate.d -> p2 CAN_QUEST action_id=4 action_type=CAN_QUEST description=quest:p2.mr._arrow_legacy's_first_mate.d; add edge p2.prince_eric_dashing_and_brave.c -> p2 CAN_INK action_id=0 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.c; add edge p2.prince_eric_dashing_and_brave.c -> p2 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p2.prince_eric_dashing_and_brave.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	0	0	4	17	11	11	0	2	11	6	10	0	1	27	p2	1	6	ink:p2.prince_eric_dashing_and_brave.c	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3/3/0/0/0/1/0/4/0	set node p2 ink_available=11 ink_drops=0 ink_total=11; set node p2.prince_eric_dashing_and_brave.c zone=ink; remove edge p2.prince_eric_dashing_and_brave.c -> p2 CAN_INK; remove edge p2.prince_eric_dashing_and_brave.c -> p2 CAN_PLAY; set edge p2 -> game CAN_PASS action_id=0; set edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST action_id=1	1.00
p2.dumptruck_karnage's_second_mate.a	dumptruck_karnage's_second_mate	p2	play	1	0	4	18	11	11	0	2	11	6	10	0	1	27	p2	1	7	quest:p2.dumptruck_karnage's_second_mate.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0/4/1/2/2/1/0/6/3/0/0/0/5/1/2/0/0/1/0/0/1/2/0/3/2/0/3/2/0/0/3/2/0/2/1/0/0/0/0/0/2/1/0/0/0/3/2/1/0/1/0/3/3/3/0/0/0/1/0/4/0/1	set node p2 lore=18; set node p2.dumptruck_karnage's_second_mate.a exerted=1; remove edge p2.dumptruck_karnage's_second_mate.a -> p2 CAN_QUEST	1.00
