card_id	card_name	owner	zone	is_exerted	damage	turns_in_play	owner_lore	owner_ink	owner_ink_total	owner_hand_size	owner_board_size	opp_lore	opp_ink	opp_ink_total	opp_hand_size	opp_board_size	turn	current_player	is_owners_turn	lore_diff	action	path	diff	score
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	hand	0	0	-1	0	3	3	6	1	6	2	4	3	2	7	p2	1	-6	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0	add node p2.jafar_royal_vizier.a card_id=400 damage=0 exerted=0 label=jafar_royal_vizier type=Card zone=hand; set node game turn=7; set node p2 ink_available=3 ink_drops=1; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=7 action_type=CAN_PASS description=end; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=1 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.genie_satisfied_dragon.c -> p2 CAN_INK action_id=2 action_type=CAN_INK description=ink:p2.genie_satisfied_dragon.c; add edge p2.genie_satisfied_dragon.c -> p2 CAN_PLAY action_id=8 action_type=CAN_PLAY description=play:p2.genie_satisfied_dragon.c; add edge p2.jafar_royal_vizier.a -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.jafar_royal_vizier.a; add edge p2.jafar_royal_vizier.a -> p2 CAN_PLAY action_id=9 action_type=CAN_PLAY description=play:p2.jafar_royal_vizier.a; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY action_id=a action_type=CAN_PLAY description=play:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.d -> p1.pinocchio_star_attraction.c CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.d->p1.pinocchio_star_attraction.c; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST action_id=c action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.d; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=b action_type=CAN_PLAY description=play:p2.prince_naveen_penniless_royal.b; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	play	0	0	0	0	1	3	5	2	6	2	4	3	2	7	p2	1	-6	play:p2.jafar_royal_vizier.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9	set node p2 ink_available=1; set node p2.jafar_royal_vizier.a entered_play=7 zone=play; remove edge p2.genie_satisfied_dragon.c -> p2 CAN_PLAY; remove edge p2.jafar_royal_vizier.a -> p2 CAN_INK; remove edge p2.jafar_royal_vizier.a -> p2 CAN_PLAY; remove edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_PLAY; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY; set edge p2 -> game CAN_PASS action_id=6; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_INK action_id=3; set edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST action_id=7; set edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=4; set edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=5	1.00
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	play	0	0	2	0	4	4	4	3	7	1	5	2	2	9	p2	1	-7	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0	add node p2.jafar_royal_vizier.c card_id=400 damage=0 exerted=0 label=jafar_royal_vizier type=Card zone=hand; set node game turn=9; set node p2 ink_available=4 ink_drops=1; set node p2.prince_eric_dashing_and_brave.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=7 action_type=CAN_PASS description=end; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.jafar_royal_vizier.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.a->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=a action_type=CAN_QUEST description=quest:p2.jafar_royal_vizier.a; add edge p2.jafar_royal_vizier.c -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.jafar_royal_vizier.c; add edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=8 action_type=CAN_PLAY description=play:p2.jafar_royal_vizier.c; add edge p2.prince_eric_dashing_and_brave.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=1 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.a->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=b action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.d -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=2 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.d->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST action_id=c action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.d; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=9 action_type=CAN_PLAY description=play:p2.prince_naveen_penniless_royal.b; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.jafar_royal_vizier.c	jafar_royal_vizier	p2	hand	0	0	-1	0	4	4	4	3	7	1	5	2	2	9	p2	1	-7	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0	add node p2.jafar_royal_vizier.c card_id=400 damage=0 exerted=0 label=jafar_royal_vizier type=Card zone=hand; set node game turn=9; set node p2 ink_available=4 ink_drops=1; set node p2.prince_eric_dashing_and_brave.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=7 action_type=CAN_PASS description=end; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=3 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.jafar_royal_vizier.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.a->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=a action_type=CAN_QUEST description=quest:p2.jafar_royal_vizier.a; add edge p2.jafar_royal_vizier.c -> p2 CAN_INK action_id=4 action_type=CAN_INK description=ink:p2.jafar_royal_vizier.c; add edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=8 action_type=CAN_PLAY description=play:p2.jafar_royal_vizier.c; add edge p2.prince_eric_dashing_and_brave.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=1 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.a->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=b action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.a; add edge p2.prince_eric_dashing_and_brave.d -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=2 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.d->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST action_id=c action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.d; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=5 action_type=CAN_INK description=ink:p2.prince_naveen_penniless_royal.b; add edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=9 action_type=CAN_PLAY description=play:p2.prince_naveen_penniless_royal.b; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	1.00
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	play	0	0	2	1	4	4	4	3	7	1	5	2	2	9	p2	1	-6	quest:p2.prince_eric_dashing_and_brave.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c	set node p2 lore=1; set node p2.prince_eric_dashing_and_brave.d exerted=1; remove edge p2.prince_eric_dashing_and_brave.d -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE; remove edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST; set edge p2 -> game CAN_PASS action_id=6; set edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=2; set edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=9; set edge p2.jafar_royal_vizier.c -> p2 CAN_INK action_id=3; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=7; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=a; set edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=4; set edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=8; set edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=5	1.00
p2.jafar_royal_vizier.c	jafar_royal_vizier	p2	hand	0	0	-1	1	4	4	4	3	7	1	5	2	2	9	p2	1	-6	quest:p2.prince_eric_dashing_and_brave.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c	set node p2 lore=1; set node p2.prince_eric_dashing_and_brave.d exerted=1; remove edge p2.prince_eric_dashing_and_brave.d -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE; remove edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST; set edge p2 -> game CAN_PASS action_id=6; set edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=2; set edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=9; set edge p2.jafar_royal_vizier.c -> p2 CAN_INK action_id=3; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=7; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=a; set edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK action_id=4; set edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY action_id=8; set edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=5	1.00
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	play	0	0	2	1	5	5	3	3	7	1	5	2	2	9	p2	1	-6	ink:p2.prince_naveen_penniless_royal.b	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4	set node p2 ink_available=5 ink_drops=0 ink_total=5; set node p2.prince_naveen_penniless_royal.b zone=ink; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_PLAY action_id=3 action_type=CAN_PLAY description=play:p2.chien_po_imperial_soldier.a; remove edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK; remove edge p2.jafar_royal_vizier.c -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY; remove edge p2.stitch_carefree_surfer.c -> p2 CAN_INK; set edge p2 -> game CAN_PASS action_id=2; set edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=5; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=4; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=6	1.00
p2.jafar_royal_vizier.c	jafar_royal_vizier	p2	hand	0	0	-1	1	5	5	3	3	7	1	5	2	2	9	p2	1	-6	ink:p2.prince_naveen_penniless_royal.b	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4	set node p2 ink_available=5 ink_drops=0 ink_total=5; set node p2.prince_naveen_penniless_royal.b zone=ink; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_PLAY action_id=3 action_type=CAN_PLAY description=play:p2.chien_po_imperial_soldier.a; remove edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK; remove edge p2.jafar_royal_vizier.c -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_INK; remove edge p2.prince_naveen_penniless_royal.b -> p2 CAN_PLAY; remove edge p2.stitch_carefree_surfer.c -> p2 CAN_INK; set edge p2 -> game CAN_PASS action_id=2; set edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=5; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=4; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=6	1.00
p2.jafar_royal_vizier.a	jafar_royal_vizier	p2	play	1	0	2	2	5	5	3	3	7	1	5	2	2	9	p2	1	-5	quest:p2.jafar_royal_vizier.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5	set node p2 lore=2; set node p2.jafar_royal_vizier.a exerted=1; remove edge p2.jafar_royal_vizier.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE; remove edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST; set edge p2 -> game CAN_PASS action_id=1; set edge p2.chien_po_imperial_soldier.a -> p2 CAN_PLAY action_id=2; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=3; set edge p2.prince_eric_dashing_and_brave.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=0; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=4	1.00
p2.jafar_royal_vizier.c	jafar_royal_vizier	p2	hand	0	0	-1	2	5	5	3	3	7	1	5	2	2	9	p2	1	-5	quest:p2.jafar_royal_vizier.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5	set node p2 lore=2; set node p2.jafar_royal_vizier.a exerted=1; remove edge p2.jafar_royal_vizier.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE; remove edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST; set edge p2 -> game CAN_PASS action_id=1; set edge p2.chien_po_imperial_soldier.a -> p2 CAN_PLAY action_id=2; set edge p2.jafar_royal_vizier.c -> p2 CAN_PLAY action_id=3; set edge p2.prince_eric_dashing_and_brave.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=0; set edge p2.prince_eric_dashing_and_brave.a -> p2 CAN_QUEST action_id=4	1.00
