card_id	card_name	owner	zone	is_exerted	damage	turns_in_play	owner_lore	owner_ink	owner_ink_total	owner_hand_size	owner_board_size	opp_lore	opp_ink	opp_ink_total	opp_hand_size	opp_board_size	turn	current_player	is_owners_turn	lore_diff	action	path	diff	score
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	hand	0	0	-1	3	3	3	5	1	0	1	3	5	1	6	p1	1	3	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0	add node p1.luisa_madrigal_magically_strong_one.b card_id=738 damage=0 exerted=0 label=luisa_madrigal_magically_strong_one type=Card zone=hand; set node game turn=6; set node p1 ink_available=3 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=4 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=0 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY action_id=5 action_type=CAN_PLAY description=play:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.maleficent_sorceress.a -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.maleficent_sorceress.a; add edge p1.maleficent_sorceress.a -> p1 CAN_PLAY action_id=6 action_type=CAN_PLAY description=play:p1.maleficent_sorceress.a; add edge p1.pinocchio_star_attraction.c -> p1 CAN_QUEST action_id=7 action_type=CAN_QUEST description=quest:p1.pinocchio_star_attraction.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	hand	0	0	-1	6	4	4	4	1	0	0	4	3	3	8	p1	1	6	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0	add node p1.chip_the_teacup_gentle_soul.d card_id=253 damage=0 exerted=0 label=chip_the_teacup_gentle_soul type=Card zone=hand; set node game turn=8; set node p1 ink_available=4 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=4 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.chip_the_teacup_gentle_soul.d; add edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_PLAY action_id=5 action_type=CAN_PLAY description=play:p1.chip_the_teacup_gentle_soul.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=7 action_type=CAN_QUEST description=quest:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p1.lena_sabrewing_rebellious_teenager.d->p2.prince_eric_dashing_and_brave.d; add edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY action_id=6 action_type=CAN_PLAY description=play:p1.luisa_madrigal_magically_strong_one.b; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	hand	0	0	-1	6	5	5	3	1	0	0	4	3	3	8	p1	1	6	ink:p1.chip_the_teacup_gentle_soul.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2	set node p1 ink_available=5 ink_drops=0 ink_total=5; set node p1.chip_the_teacup_gentle_soul.d zone=ink; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p1.cauldron_born_mindless_horde.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY action_id=4 action_type=CAN_PLAY description=play:p1.winnie_the_pooh_hunny_wizard.d; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK; remove edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_INK; remove edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_PLAY; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=1; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=5; set edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY action_id=3	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	hand	0	0	-1	7	5	5	3	1	0	0	4	3	3	8	p1	1	7	quest:p1.lena_sabrewing_rebellious_teenager.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5	set node p1 lore=7; set node p1.lena_sabrewing_rebellious_teenager.d exerted=1; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE; set edge p1 -> game CAN_PASS action_id=0; set edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY action_id=1; set edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY action_id=2; set edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY action_id=3	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	0	0	0	7	1	5	2	2	0	0	4	3	3	8	p1	1	7	play:p1.luisa_madrigal_magically_strong_one.b	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2	set node p1 ink_available=1; set node p1.luisa_madrigal_magically_strong_one.b entered_play=8 zone=play; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY; remove edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	0	0	2	7	5	5	3	2	2	3	5	2	4	10	p1	1	5	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0	add node p1.maleficent_sorceress.b card_id=49 damage=0 exerted=0 label=maleficent_sorceress type=Card zone=hand; set node game turn=10; set node p1 ink_available=5 ink_drops=1; set node p1.lena_sabrewing_rebellious_teenager.d exerted=0; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=9 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=6 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY action_id=a action_type=CAN_PLAY description=play:p1.cauldron_born_mindless_horde.c; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=d action_type=CAN_QUEST description=quest:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p2.jafar_royal_vizier.a CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p1.lena_sabrewing_rebellious_teenager.d->p2.jafar_royal_vizier.a; add edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.a CAN_CHALLENGE action_id=1 action_type=CAN_CHALLENGE description=challenge:p1.lena_sabrewing_rebellious_teenager.d->p2.prince_eric_dashing_and_brave.a; add edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE action_id=2 action_type=CAN_CHALLENGE description=challenge:p1.lena_sabrewing_rebellious_teenager.d->p2.prince_eric_dashing_and_brave.d; add edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_QUEST action_id=e action_type=CAN_QUEST description=quest:p1.luisa_madrigal_magically_strong_one.b; add edge p1.luisa_madrigal_magically_strong_one.b -> p2.jafar_royal_vizier.a CAN_CHALLENGE action_id=3 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.b->p2.jafar_royal_vizier.a; add edge p1.luisa_madrigal_magically_strong_one.b -> p2.prince_eric_dashing_and_brave.a CAN_CHALLENGE action_id=4 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.b->p2.prince_eric_dashing_and_brave.a; add edge p1.luisa_madrigal_magically_strong_one.b -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE action_id=5 action_type=CAN_CHALLENGE description=challenge:p1.luisa_madrigal_magically_strong_one.b->p2.prince_eric_dashing_and_brave.d; add edge p1.maleficent_sorceress.b -> p1 CAN_INK action_id=7 action_type=CAN_INK description=ink:p1.maleficent_sorceress.b; add edge p1.maleficent_sorceress.b -> p1 CAN_PLAY action_id=b action_type=CAN_PLAY description=play:p1.maleficent_sorceress.b; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=8 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY action_id=c action_type=CAN_PLAY description=play:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	0	0	2	7	0	5	2	3	2	3	5	2	4	10	p1	1	5	play:p1.winnie_the_pooh_hunny_wizard.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c	set node p1 ink_available=0; set node p1.winnie_the_pooh_hunny_wizard.d entered_play=10 zone=play; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY; remove edge p1.maleficent_sorceress.b -> p1 CAN_PLAY; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY; set edge p1 -> game CAN_PASS action_id=8; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=9; set edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_QUEST action_id=a	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	0	0	2	7	1	6	1	3	2	3	5	2	4	10	p1	1	5	ink:p1.cauldron_born_mindless_horde.c	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6	set node p1 ink_available=1 ink_drops=0 ink_total=6; set node p1.cauldron_born_mindless_horde.c zone=ink; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK; remove edge p1.maleficent_sorceress.b -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=6; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=7; set edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_QUEST action_id=8	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	1	1	2	7	1	6	1	3	2	3	5	2	3	10	p1	1	5	challenge:p1.luisa_madrigal_magically_strong_one.b->p2.prince_eric_dashing_and_brave.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4	set node p1.luisa_madrigal_magically_strong_one.b damage=1 exerted=1; set node p2.prince_eric_dashing_and_brave.a damage=5 zone=discard; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.a CAN_CHALLENGE; remove edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_QUEST; remove edge p1.luisa_madrigal_magically_strong_one.b -> p2.jafar_royal_vizier.a CAN_CHALLENGE; remove edge p1.luisa_madrigal_magically_strong_one.b -> p2.prince_eric_dashing_and_brave.a CAN_CHALLENGE; remove edge p1.luisa_madrigal_magically_strong_one.b -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE; set edge p1 -> game CAN_PASS action_id=2; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=3; set edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE action_id=1	0.00
p1.luisa_madrigal_magically_strong_one.b	luisa_madrigal_magically_strong_one	p1	play	1	1	3	7	1	6	1	3	2	5	5	3	3	11	p2	0	5	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2/5/2/0/c/4/5/3/0/0/c/6/4/1/0	add node p2.mulan_free_spirit.d card_id=231 damage=0 exerted=0 label=mulan_free_spirit type=Card zone=hand; set node game turn=11; set node p2 ink_available=5 ink_drops=1; set node p2.jafar_royal_vizier.a exerted=0; set node p2.prince_eric_dashing_and_brave.d exerted=0; add edge game -> p2 CURRENT_TURN; add edge game -> step.p2.main CURRENT_STEP; add edge p2 -> game CAN_PASS action_id=9 action_type=CAN_PASS description=end; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_INK action_id=6 action_type=CAN_INK description=ink:p2.chien_po_imperial_soldier.a; add edge p2.chien_po_imperial_soldier.a -> p2 CAN_PLAY action_id=a action_type=CAN_PLAY description=play:p2.chien_po_imperial_soldier.a; add edge p2.jafar_royal_vizier.a -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.a->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.jafar_royal_vizier.a -> p1.luisa_madrigal_magically_strong_one.b CAN_CHALLENGE action_id=1 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.a->p1.luisa_madrigal_magically_strong_one.b; add edge p2.jafar_royal_vizier.a -> p2 CAN_QUEST action_id=c action_type=CAN_QUEST description=quest:p2.jafar_royal_vizier.a; add edge p2.jafar_royal_vizier.c -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=2 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.c->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.jafar_royal_vizier.c -> p1.luisa_madrigal_magically_strong_one.b CAN_CHALLENGE action_id=3 action_type=CAN_CHALLENGE description=challenge:p2.jafar_royal_vizier.c->p1.luisa_madrigal_magically_strong_one.b; add edge p2.jafar_royal_vizier.c -> p2 CAN_QUEST action_id=d action_type=CAN_QUEST description=quest:p2.jafar_royal_vizier.c; add edge p2.mulan_free_spirit.d -> p2 CAN_INK action_id=7 action_type=CAN_INK description=ink:p2.mulan_free_spirit.d; add edge p2.mulan_free_spirit.d -> p2 CAN_PLAY action_id=b action_type=CAN_PLAY description=play:p2.mulan_free_spirit.d; add edge p2.prince_eric_dashing_and_brave.d -> p1.lena_sabrewing_rebellious_teenager.d CAN_CHALLENGE action_id=4 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.d->p1.lena_sabrewing_rebellious_teenager.d; add edge p2.prince_eric_dashing_and_brave.d -> p1.luisa_madrigal_magically_strong_one.b CAN_CHALLENGE action_id=5 action_type=CAN_CHALLENGE description=challenge:p2.prince_eric_dashing_and_brave.d->p1.luisa_madrigal_magically_strong_one.b; add edge p2.prince_eric_dashing_and_brave.d -> p2 CAN_QUEST action_id=e action_type=CAN_QUEST description=quest:p2.prince_eric_dashing_and_brave.d; add edge p2.stitch_carefree_surfer.c -> p2 CAN_INK action_id=8 action_type=CAN_INK description=ink:p2.stitch_carefree_surfer.c; remove edge game -> p1 CURRENT_TURN; remove edge game -> step.p1.main CURRENT_STEP; remove edge p1 -> game CAN_PASS	0.00
