card_id	card_name	owner	zone	is_exerted	damage	turns_in_play	owner_lore	owner_ink	owner_ink_total	owner_hand_size	owner_board_size	opp_lore	opp_ink	opp_ink_total	opp_hand_size	opp_board_size	turn	current_player	is_owners_turn	lore_diff	action	path	diff	score
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	0	1	1	6	0	0	0	0	7	0	0	p1	1	0	ink:p1.tinker_bell_fast_flier.d	3	set node p1 ink_available=1 ink_drops=0 ink_total=1; set node p1.tinker_bell_fast_flier.d zone=ink; remove edge p1.cauldron_born_mindless_horde.d -> p1 CAN_INK; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK; remove edge p1.maleficent_sorceress.a -> p1 CAN_INK; remove edge p1.tinker_bell_fast_flier.d -> p1 CAN_INK; remove edge p1.tor_florist.c -> p1 CAN_INK; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=0	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	0	1	1	7	0	0	1	1	7	0	2	p1	1	0	end	3/0/6/0	add node p1.pinocchio_star_attraction.c card_id=272 damage=0 exerted=0 label=pinocchio_star_attraction type=Card zone=hand; set node game turn=2; set node p1 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=5 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.d -> p1 CAN_INK action_id=0 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.maleficent_sorceress.a -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.maleficent_sorceress.a; add edge p1.tor_florist.c -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.tor_florist.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=4 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	0	2	2	6	0	0	1	1	7	0	2	p1	1	0	ink:p1.tor_florist.c	3/0/6/0/3	set node p1 ink_available=2 ink_drops=0 ink_total=2; set node p1.tor_florist.c zone=ink; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY action_id=1 action_type=CAN_PLAY description=play:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.pinocchio_star_attraction.a -> p1 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p1.pinocchio_star_attraction.a; add edge p1.pinocchio_star_attraction.c -> p1 CAN_PLAY action_id=3 action_type=CAN_PLAY description=play:p1.pinocchio_star_attraction.c; remove edge p1.cauldron_born_mindless_horde.d -> p1 CAN_INK; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK; remove edge p1.maleficent_sorceress.a -> p1 CAN_INK; remove edge p1.tor_florist.c -> p1 CAN_INK; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=0	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	0	2	2	6	1	0	0	2	6	1	4	p1	1	0	end	3/0/6/0/3/2/0/1/1/0	add node p1.cauldron_born_mindless_horde.c card_id=2228 damage=0 exerted=0 label=cauldron_born_mindless_horde type=Card zone=hand; set node game turn=4; set node p1 ink_available=2 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=5 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=0 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.cauldron_born_mindless_horde.d -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY action_id=6 action_type=CAN_PLAY description=play:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.maleficent_sorceress.a -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.maleficent_sorceress.a; add edge p1.pinocchio_star_attraction.a -> p1 CAN_QUEST action_id=8 action_type=CAN_QUEST description=quest:p1.pinocchio_star_attraction.a; add edge p1.pinocchio_star_attraction.c -> p1 CAN_PLAY action_id=7 action_type=CAN_PLAY description=play:p1.pinocchio_star_attraction.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=4 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	0	3	3	5	1	0	0	2	6	1	4	p1	1	0	ink:p1.cauldron_born_mindless_horde.d	3/0/6/0/3/2/0/1/1/0/1	set node p1 ink_available=3 ink_drops=0 ink_total=3; set node p1.cauldron_born_mindless_horde.d zone=ink; add edge p1.maleficent_sorceress.a -> p1 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p1.maleficent_sorceress.a; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK; remove edge p1.cauldron_born_mindless_horde.d -> p1 CAN_INK; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK; remove edge p1.maleficent_sorceress.a -> p1 CAN_INK; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=0; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY action_id=1; set edge p1.pinocchio_star_attraction.a -> p1 CAN_QUEST action_id=4; set edge p1.pinocchio_star_attraction.c -> p1 CAN_PLAY action_id=3	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	3	3	3	5	1	0	1	3	5	1	6	p1	1	3	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0	add node p1.luisa_madrigal_magically_strong_one.b card_id=738 damage=0 exerted=0 label=luisa_madrigal_magically_strong_one type=Card zone=hand; set node game turn=6; set node p1 ink_available=3 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=4 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=0 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY action_id=5 action_type=CAN_PLAY description=play:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.maleficent_sorceress.a -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.maleficent_sorceress.a; add edge p1.maleficent_sorceress.a -> p1 CAN_PLAY action_id=6 action_type=CAN_PLAY description=play:p1.maleficent_sorceress.a; add edge p1.pinocchio_star_attraction.c -> p1 CAN_QUEST action_id=7 action_type=CAN_QUEST description=quest:p1.pinocchio_star_attraction.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	3	1	3	4	2	0	1	3	5	1	6	p1	1	3	play:p1.lena_sabrewing_rebellious_teenager.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5	set node p1 ink_available=1; set node p1.lena_sabrewing_rebellious_teenager.d entered_play=6 zone=play; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_INK; remove edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_PLAY; remove edge p1.maleficent_sorceress.a -> p1 CAN_PLAY; set edge p1 -> game CAN_PASS action_id=3; set edge p1.maleficent_sorceress.a -> p1 CAN_INK action_id=1; set edge p1.pinocchio_star_attraction.c -> p1 CAN_QUEST action_id=4; set edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=2	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	6	2	4	3	2	0	1	3	5	1	6	p1	1	6	ink:p1.maleficent_sorceress.a	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1	set node p1 ink_available=2 ink_drops=0 ink_total=4; set node p1.maleficent_sorceress.a zone=ink; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK; remove edge p1.maleficent_sorceress.a -> p1 CAN_INK; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=0	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	6	4	4	4	1	0	0	4	3	3	8	p1	1	6	end	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0	add node p1.chip_the_teacup_gentle_soul.d card_id=253 damage=0 exerted=0 label=chip_the_teacup_gentle_soul type=Card zone=hand; set node game turn=8; set node p1 ink_available=4 ink_drops=1; add edge game -> p1 CURRENT_TURN; add edge game -> step.p1.main CURRENT_STEP; add edge p1 -> game CAN_PASS action_id=4 action_type=CAN_PASS description=end; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK action_id=1 action_type=CAN_INK description=ink:p1.cauldron_born_mindless_horde.c; add edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_INK action_id=2 action_type=CAN_INK description=ink:p1.chip_the_teacup_gentle_soul.d; add edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_PLAY action_id=5 action_type=CAN_PLAY description=play:p1.chip_the_teacup_gentle_soul.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=7 action_type=CAN_QUEST description=quest:p1.lena_sabrewing_rebellious_teenager.d; add edge p1.lena_sabrewing_rebellious_teenager.d -> p2.prince_eric_dashing_and_brave.d CAN_CHALLENGE action_id=0 action_type=CAN_CHALLENGE description=challenge:p1.lena_sabrewing_rebellious_teenager.d->p2.prince_eric_dashing_and_brave.d; add edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY action_id=6 action_type=CAN_PLAY description=play:p1.luisa_madrigal_magically_strong_one.b; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK action_id=3 action_type=CAN_INK description=ink:p1.winnie_the_pooh_hunny_wizard.d; remove edge game -> p2 CURRENT_TURN; remove edge game -> step.p2.main CURRENT_STEP; remove edge p2 -> game CAN_PASS	0.00
p1.winnie_the_pooh_hunny_wizard.d	winnie_the_pooh_hunny_wizard	p1	hand	0	0	-1	6	5	5	3	1	0	0	4	3	3	8	p1	1	6	ink:p1.chip_the_teacup_gentle_soul.d	3/0/6/0/3/2/0/1/1/0/1/3/1/0/6/4/0/0/5/4/1/0/9/2/0/1/0/2	set node p1 ink_available=5 ink_drops=0 ink_total=5; set node p1.chip_the_teacup_gentle_soul.d zone=ink; add edge p1.cauldron_born_mindless_horde.c -> p1 CAN_PLAY action_id=2 action_type=CAN_PLAY description=play:p1.cauldron_born_mindless_horde.c; add edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_PLAY action_id=4 action_type=CAN_PLAY description=play:p1.winnie_the_pooh_hunny_wizard.d; remove edge p1.cauldron_born_mindless_horde.c -> p1 CAN_INK; remove edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_INK; remove edge p1.chip_the_teacup_gentle_soul.d -> p1 CAN_PLAY; remove edge p1.winnie_the_pooh_hunny_wizard.d -> p1 CAN_INK; set edge p1 -> game CAN_PASS action_id=1; set edge p1.lena_sabrewing_rebellious_teenager.d -> p1 CAN_QUEST action_id=5; set edge p1.luisa_madrigal_magically_strong_one.b -> p1 CAN_PLAY action_id=3	0.00
